Male~Lifestyle / Home~$250k-$500k~0%-25%~$1M-$10M,15,9,2600000.0,1.98,14201515.0,0,4,4,0,1,1,2,2700000.0,1.05,27208333.0
Male~Lifestyle / Home~$250k-$500k~25%-50%~<$1M,1,1,275000.0,0.35,785714.0,0,0,0,0,0,1,0,275000.0,0.3,916667.0
Male~Lifestyle / Home~$250k-$500k~25%-50%~$1M-$10M,3,0,0,0,0,0,0,0,0,0,0,0
Male~Lifestyle / Home~$500k-$750k~0%-25%~$1M-$10M,3,2,1000000.0,0.25,8333333.0,1,0,1,0,0,0,1,1000000.0,0.2,10000000.0
Male~Lifestyle / Home~$500k-$750k~25%-50%~$1M-$10M,1,1,500000.0,0.33,1515152.0,0,0,1,0,0,0,0,500000.0,0.3,1666667.0
Male~Lifestyle / Home~$750k-$1M~>100%~<$1M,1,1,750000.0,0.13,5769231.0,0,0,0,0,1,0,0,750000.0,1.0,750000.0
Male~Lifestyle / Home~>$1M~0%-25%~$10M-20M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Lifestyle / Home~>$1M~0%-25%~>$20M,2,1,1400000.0,0.05,28000000.0,0,1,1,0,0,0,0,1400000.0,0.05,28000000.0
Male~Media / Entertainment~$0-$250k~0%-25%~<$1M,2,1,50000.0,0.1,500000.0,0,0,0,0,0,0,1,50000.0,0.1,500000.0
Male~Media / Entertainment~$0-$250k~0%-25%~$1M-$10M,4,3,525000.0,0.75,2175000.0,0,1,0,0,1,2,0,475000.0,0.35,4250000.0
Male~Media / Entertainment~$250k-$500k~0%-25%~$1M-$10M,3,2,600000.0,0.41,4659091.0,1,1,0,0,0,0,0,600000.0,0.15,9000000.0
Male~Media / Entertainment~$500k-$750k~0%-25%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Media / Entertainment~$500k-$750k~0%-25%~$10M-20M,3,1,650000.0,0.05,13000000.0,0,1,0,0,0,1,0,650000.0,0.05,13500000.0
Male~Media / Entertainment~$750k-$1M~25%-50%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Media / Entertainment~>$1M~0%-25%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Pet Products~$0-$250k~0%-25%~<$1M,2,1,100000.0,0.3,333333.0,0,0,1,0,0,0,0,100000.0,0.15,666667.0
Male~Pet Products~$0-$250k~0%-25%~$1M-$10M,4,2,350000.0,0.4,1750000.0,1,1,1,0,1,0,0,350000.0,0.2,3500000.0
Male~Pet Products~$0-$250k~25%-50%~<$1M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Pet Products~$0-$250k~50%-100%~<$1M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Pet Products~$250k-$500k~0%-25%~$1M-$10M,1,1,300000.0,0.2,1500000.0,0,0,1,0,0,0,1,300000.0,0.1,3000000.0
Male~Pet Products~$750k-$1M~0%-25%~$10M-20M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Software / Tech~$0-$250k~0%-25%~<$1M,5,2,240000.0,0.47,1057674.0,2,1,0,0,0,0,0,190000.0,0.3,1400000.0
Male~Software / Tech~$0-$250k~0%-25%~$1M-$10M,11,6,1245000.0,1.1,8583333.0,0,2,3,0,2,1,1,815000.0,0.58,8650000.0
Male~Software / Tech~$0-$250k~25%-50%~<$1M,3,3,279000.0,1.23,610758.0,0,1,0,0,1,1,1,214000.0,0.81,747692.0
Male~Software / Tech~$250k-$500k~0%-25%~$1M-$10M,5,2,600000.0,0.18,7000000.0,0,0,1,0,1,0,0,600000.0,0.13,10000000.0
Male~Software / Tech~$500k-$750k~0%-25%~$1M-$10M,3,2,2500000.0,0.45,11000000.0,0,2,1,0,2,1,1,1000000.0,0.3,7500000.0
Male~Software / Tech~$500k-$750k~0%-25%~$10M-20M,3,2,1200000.0,0.12,20000000.0,0,1,0,0,0,0,1,1200000.0,0.1,24000000.0
Male~Software / Tech~$500k-$750k~25%-50%~$1M-$10M,1,1,500000.0,0.4,1250000.0,0,1,0,0,0,0,1,500000.0,0.33,1515152.0
